feature,importance
alcohol,0.2479599130480139
density,0.1728692912812661
total sulfur dioxide,0.12381623996883155
volatile acidity,0.12194049618453215
chlorides,0.11676175700981471
citric acid,0.11277804213804908
residual sugar,0.09734266647274002
wine_type_encoded,0.006531593896752315
